InstState,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
SC,0.044153712,0.046781009,0.049779267,0.052073375,0.053961451,0.056162032,0.059137358,0.061318154,0.06456282,0.067934736,0.072009004,0.072962709,0.072141201,0.073790063,0.076527075,0.078493838,0.081554598
SD,0.008614821,0.00914046,0.009529856,0.010285716,0.010769538,0.01204744,0.012643224,0.013606822,0.014109979,0.014622578,0.015811899,0.016747618,0.016496265,0.017165792,0.01899901,0.019360078,0.020084912
TN,0.069783242,0.074768498,0.078661557,0.081483553,0.083587909,0.087612266,0.091803442,0.09808009,0.102297346,0.107473702,0.109265103,0.111985928,0.11085686,0.113526425,0.118336318,0.125136356,0.129550108
TX,0.276280397,0.291442554,0.307370013,0.333241455,0.34916172,0.354747707,0.374768318,0.409016267,0.445176573,0.489350518,0.530232136,0.559087447,0.524522495,0.559092393,0.604657552,0.646546832,0.68924638
UT,0.025673596,0.027750974,0.029609822,0.031552754,0.033052333,0.034201635,0.035796539,0.038530404,0.042480568,0.047803061,0.052151165,0.052211867,0.050897544,0.052929956,0.055770388,0.057563137,0.059921995
VA,0.006988441,0.00725868,0.007742053,0.008269491,0.008708798,0.009105388,0.009605397,0.01019084,0.010584283,0.010935009,0.011172873,0.011451205,0.011478184,0.011975496,0.01244448,0.012677847,0.012859505
VT,0.098316605,0.105249739,0.112887024,0.120672693,0.127918333,0.13177632,0.139499037,0.148984378,0.161546666,0.170497824,0.176510977,0.179327577,0.183142847,0.189240085,0.192977565,0.198359861,0.202118026
WA,0.087217474,0.094420848,0.103757355,0.106738077,0.107644569,0.111908139,0.116183849,0.121578285,0.133277247,0.142449183,0.155565438,0.159270094,0.156686862,0.161735968,0.166437046,0.174878303,0.181900917
WI,0.017389267,0.017932443,0.0188196,0.019201352,0.019810176,0.020418551,0.020985558,0.022266158,0.024035076,0.025571976,0.026472173,0.02813947,0.028717269,0.030241129,0.031900333,0.031911124,0.03242867
WV,0.069854287,0.073666409,0.078068021,0.082019535,0.085086589,0.08829888,0.092076379,0.09711964,0.10176676,0.106021337,0.109548831,0.10995981,0.110161703,0.113704935,0.118016168,0.12249332,0.12589986
WY,0.00661838,0.006720451,0.007091411,0.007800957,0.008467336,0.008675074,0.009548292,0.010551458,0.012344658,0.014691824,0.01633619,0.019277342,0.01669501,0.017582616,0.018659975,0.018076331,0.018426157
